900067ad13037c7c31f1e3bbcedf06e1,8:03:08,13354,UMTS,580525.0,2420475.0
000067ad17032c7c31f1e3bbcedf06e2,17:19:11,13354,UMTS,580525.0,2420475.0
00006xad13032c7c31f1e3bbcedf06e3,18:43:06,57877,GSM 900,576175.0,2420975.0
000067ad13032c7cl1f1e3bbcedf06e4,19:45:41,57877,GSM 900,576175.0,2420975.0
000067ad13032c7c31f1e3bbcedf06e5,19:57:04,13354,UMTS,580525.0,2420475.0
00037506853af325ddc63efc535e51ee,16:47:20,13354,UMTS,580525.0,2420475.0
000067ad13032c7c31f1e3bbcedf06e7,17:19:11,13354,UMTS,580525.0,2420475.0
000067ad130f2c7cs1f1e3bbcedf06e8,18:43:06,57877,GSM 900,576175.0,2420975.0
00s067ad13032c7c31f1e3bbcedf06e9,19:45:41,57877,GSM 900,576175.0,2420975.0
000067ad1s032c7c31f1e3bbcedf0610,19:57:04,13354,UMTS,580525.0,2420475.0
